codbco,agencia,banco,cidade,uf,usultalteracao,dtultimalteracao,dtcadastro,agencia_cedente,codbcoblt,convenio,carteira_cobranca,variacao_carteira
359,1338.104,CAIXA ECONOMICA FEDERAL,IPORA-GO,,,,,,,,,
360,0934.104,CAIXA ECONOMICA FEDERAL,FRUTAL-MG,,,,,,,,,
361,0522.00?,CREDITAMA,IGUATAMA-MG,,,,,,,,,
362,1003.001,BANCO DO BRASIL,ASA NORTE-DF,,,,,,,,,
363,1816.399,BMU,ARAGUAIA PALMAS-TO,,,,,,,,,
364,0219.001,BANCO DO BRASIL,BURITI ALEGRE-GO,,,,,,,,,
365,3751.001,BANCO DO BRASIL,BOSQUE BURITIS-GO,,,,,,,,,
366,1022.341,ITAU,PRIMAV LESTE-MT,,,,,,,,,
367,0068.389,MERCANTIL,UDI-MG,,,,,,,,,
368,1231.001,BANCO DO BRASIL,BRASILIA-DF,,,,,,,,,
369,0650.415,UNIBANCO,LAPA-SP,,,,,,,,,
370,1161.001,BANCO DO BRASIL,TUCURUI-PA,,,,,,,,,
371,3016.001,BANCO DO BRASIL,JUIZ FORA-MG,,,,,,,,,
372,0903.237,BRADESCO,CASTELANDIA-MG,,,,,,,,,
373,1427.104,CAIXA ECONOMICA FEDERAL,CENTRALINA-MG,,,,,,,,,
374,0036.275,BANCO REAL,B H-MG,,,,,,,,,
375,0730.237,BRADESCO,ITAGUARA-MG,,,,,,,,,
376,0936.104,CAIXA ECONOMICA FEDERAL,ITURAMA-MG,,,,,,,,,
377,0852.399,BMU,PEDRO GOMES-MS,,,,,,,,,
378,0117.215,AMERIC SUL,UBERABA-MG,,,,,,,,,
379,0129.048,BEMGE,CAMPINA-VERDE-MG,,,,,,,,,
380,0757.048,BEMGE,MTE ALEGRE-MG,,,,,,,,,
381,2556.001,BANCO DO BRASIL,SABARA-MG,,,,,,,,,
382,0903.415,UNIBANCO,ITBA-MG,,,,,,,,,
383,0515.001,BANCO DO BRASIL,PALMEIRAS-GO,,,,,,,,,
384,0009.477,CITBANK,B H-MG,,,,,,,,,
385,0513.001,BANCO DO BRASIL,PRANGATU-GO,,,,,,,,,
386,0122.048,BEMGE,B DESPACHO-MG,,,,,,,,,
387,0190.237,BRADESCO,ERRA NEGRA-SP,,,,,,,,,
388,0396.001,BANCO DO BRASIL,CAPELINHA-MG,,,,,,,,,
389,0085.104,CAIXA ECONOMICA FEDERAL,INCOFIDENCIA-MG,,,,,,,,,
390,0079.031,BEG,OM J GOIAS-GO,,,,,,,,,
391,0484.415,UNIBANCO,UBERABA-MG,,,,,,,,,
392,"0123,104",CAIXA ECONOMICA FEDERAL,ITAPECERICA-MG,,,,,,,,,
393,1691.237,BRADESCO,ARAXA-MG,,,,,,,,,
394,0006.031,BEG,CATALAO-GO,,,,,,,,,
395,0067.033,BANESPA,UDI-MG,,,,,,,,,
