codfamilia,descricao,tipo
1722,CHOC HERSHEYS ,P
1723,SAB LIQ LUX ,P
1724,SAB LIQ DOVE ,P
1725,CEREAL NUTRIBOM ,P
1726,SUCO ADES ,P
1727,SUCO ADES ,P
1728,SUCO ADES ,P
1729,SUCO ART REFRESK ,P
1730,MAC INST SANDELLA ,P
1731,SAND HAMB ,P
1732,BISC MABEL ,P
1733,NECTAR MAXIMO ,P
1734,PAPEL HIG ,P
1735,ESCOVA DENT ,P
1736,DESOD REXONA ,P
1737,KIT SEDA SH+COND+IPANEMA ,P
1738,DESODORIZ ,P
1739,DETERG PO ,P
1740,BEBIDA LACTEA ,P
1741,ODORIZ SANIT ,P
1742,LEITE FERM ,P
1743,MOLHO TOM ,P
1744,ABS INTERNO TAMPAX,P
1745,SUSTARE CRIANCA ,P
1746,LAVA ROUPAS ,P
1747,MIST BOLO ,P
1748,ODORIZ SENSE ,P
1749,TINT CASTING ,P
1750,CIGARRO RCE ,P
1751,CIGARRO RCE ,P
1752,CIGARRO RCE ,P
1753,CIG SOUZA CARLTON,P
1754,CIG SOUZA DERBY,P
1755,CIG SOUZA FREE KS,P
1756,CIG SOUZA FREE BOX,P
1757,CIGARRO SOUZA ,P
1758,CIGARRO SOUZA ,P
1759,CIGARRO SOUZA ,P
1760,CIGARRO SOUZA ,P
1761,BISC TORTINHA ,P
1762,HAMBURGUER ,P
1763,ODORIZ SANIT ,P
1764,IOG CALUZINHO ,P
1765,IOG CALUZINHO ,P
1766,BISC BAUDUCCO ,P
1767,DESOD ENLACE ,P
1768,MOLHO TOM ,P
6140,ICE,P
1769,CREME TRAT DOVE 350G,P
1770,CREME KANECHOMN ,P
1771,SUCO DEL VALLE ,P
1772,LEITE FERM ,P
1773,SH CLEAR ANTIC ,P
1774,TEMP KNORR ,P
1775,CHOC BEL MESCLADA ,P
1776,GELEIA QBERRY ,P
1777,GELEIA QBERRY ,P
1778,SAND IPAN ,P
1779,LEITE FERM ,P
1780,LEITE FERM ,P
1781,LEITE FERM ,P
1782,SUCO ART YOKI ,P
1783,CERA INGLEZA ,P
1784,SOPA INST ,P
1785,SAB LIQ DOVE ,P
1786,IOG DANONE ,P
1787,SUSTAIN DANONE ,P
1788,DESINF PINHO ,P
1789,AMAC MON BIJOU ,P
1790,SAB DAVENE ,P
1791,TRAT CHOC ,P
1792,SAB XUXINHA ,P
1793,DESOD ENLACE ,P
1794,SUSTAIN DANONE ,P
1795,DETERG PO BRILHANTE 1KG,P
1796,SH XUXINHA ,P
1797,CHICLE ARCOR ,P
1798,SAB LIQ LUX ,P
1799,SAB LIQ DOVE ,P
1800,CHOC SALWARE ,P
1801,LEVITTA SEMENTE ,P
1802,SUP LIGHT ,P
1803,SUPINO LIFE ,P
1804,SUPINO TRAD ,P
1805,GELATINA ZERO ,P
1806,MIST BOLO ,P
1807,CHICLE TRIDENT ,P
1808,PAO WICKBOLD ,P
1809,FLAN DANONE ,P
1810,LEITE FERM ,P
1811,IOG DANONE ,P
1812,RACAO HEROI ,P
1813,IOG CANTO ,P
1814,QUEIJO CANTO ,P
1815,FRALDA DESC ,P
1816,GLADE SENSE ,P
1817,BISC ROSQ ,P
1818,TORRADA MABEL ,P
1819,NESTON BEBIDA ,P
1820,CALDO SANTA ,P
1821,SALG ELMA ,P
1822,IOG ARALAT ,P
1823,VINHO VINTISQUEIRO ,P
1824,IOG VIGOR ,P
1825,ACAI EXPRESSO ,P
1826,BISNAGUINHA ,P
1827,BOLO CASA ,P
1828,TINT CASTING ,P
1829,SAB LIQ LUX ,P
1830,LEITE PO NINHO ,P
1831,SAB LIFEBUOY ,P
1832,SAB LIQ LIFEBUOY ,P
1833,SH LINDINHA ,P
1834,CREME DEPIL ,P
1835,LIMP AZULIM ,P
1836,FANTA LARANJA ,P
1837,DESOD MONANGE ,P
1838,DESOD ADIDAS ,P
1839,KIT SH/COND ,P
1840,FRALDA DESC ,P
1841,FRALDA DESC ,P
1842,DESOD MONANGE ,P
1843,SAB LIFEBUOY ,P
1844,KIT SH CLEAR ,P
1845,LEITE FERM ,P
1846,SAB LIQ LIFIBUOY ,P
1847,DESOD NIELY ,P
1848,POWER DE LIMAO ,P
1849,ODORIZ GLADE ,P
1850,NINHO FRUTI ,P
1851,ROCAMBOLE ,P
1852,SH CLEAR SUAV ,P
1853,CHICLE TOPLINE ,P
1854,SUCO JANDAIA ,P
1855,SUCO JANDAIA ,P
1856,SAB ACTION ,P
1857,ALFAJOR MONTEV ,P
1858,FRALDA S. ,P
1859,GELATINA SANTA ,P
1860,SPRAY DOVE ,P
1861,SALG ELMA ,P
1862,BOLO INTEGRAL ,P
1863,BOLO LIGHT ,P
1864,COOKIES INTEGRAL ,P
1865,CEREAL ORG ,P
1866,BALAS TARUMA ,P
1867,MIST BOLO ,P
1868,MIST BOLO ,P
1869,GELATINA FLEISCHMANN ,P
1870,GELATINA FLEISCHMANN ,P
1871,GELATINA FLEISCHMANN ,P
1872,TEMP ARISCO ,P
1873,TEMP ARISCO ,P
1874,PAO 12 GRAOS ,P
1875,GEL FIX RADICAL ,P
1876,COND GOLD ,P
1877,LASANHA PERDIGAO ,P
1878,MEU MENU PERD ,P
1879,PIZZA PERDIGAO ,P
1880,PATE PERDIGAO ,P
1881,SACO LIXO ,P
1882,SAB LIQ LUCRETIN ,P
1883,LIMP PATO ,P
1884,LIMP PATO ,P
1885,DESOD GILLETE ,P
1886,BEBIDA LACTEA ,P
1887,HALLS CREAMY ,P
1888,BISC EQLIBRI ,P
1889,CHICLE TRIDENT ,P
1890,GATORADE LIMAO ,P
1891,CANECA INFANTIL ,P
1892,MILHO PIP ,P
1893,YOKITOS PEITO ,P
1894,MIST BOLO ,P
1895,ODORIZ GLADE ,P
1896,COND TRESEMME 750ML,P
1897,COND TRESEMME 400ML,P
1898,SH TRESEMME ,P
1899,SH TRESEMME ,P
1900,CREME PENT TRESSEME 300ML,P
1901,LIMP SANIT ,P
1902,SUCO ART FRUCTUS ,P
1903,SAND IPAN ,P
1904,GUARANA ANTARCTICA ,P
1905,SALG ELMA ,P
1906,MARG QUALY ,P
1907,CREMOGEMA ,P
1908,GATORADE ABACAXI ,P
1909,AVEIA QUAKER ,P
1910,LIMP OPTIMUM ,P
1911,COCA COLA 310ML,P
1912,COCA COLA ,P
1913,COCA COLA ,P
1914,SUSTAGEN CHOCOLATE ,P
1915,CHOC LACTA ,P
1916,BISC BIS LAKA ,P
1917,TALCO TENYS ,P
1918,MAC STA AMAL ,P
1919,AGRIN CASTELO ,P
1920,VINHO CHAPINHA ,P
1921,PUDIM DOCE ,P
1922,GELATINA BRETZKE ,P
1923,GELATINA BRETZKE ,P
1924,CORTEZANO ,P
1925,LEITE AVEIA ,P
1926,DETERG YPE ,P
1927,GELEIA RITTER ,P
1928,PAPEL TOALHA ,P
1929,MAC BASILAR ,P
1930,CERA POLYLAR ,P
1931,GUARANA MINEIRO ,P
1932,SAB PALMOLIVE ,P
1933,AMAC COMFORT ,P
1934,SUCO ART TANG ,P
2002,STICK,P
2060,TINT NUTRISSE,D
2160,COMIDA JAPONESA,S
2180,SAB REXONA 84G,P
2220,LIMP PERF MR MUSCULO 900ML,P
3282,SUCO DO BEM 200ML,P
3283,SUCO DO BEM 330ML,P
3380,PIPOCA PRONTA YOKI 50G,P
3700,CHANDELLE 360G,P
4960,SUCO DELVALLE INTEGRAL 1L,P
4961,SUCO DELVALLE 1.5L,P
4980,GEL DENT CONTENTE KIDS 50G,P
4981,ANTISEPTICO BUCAL CONTENTE LV500 PG350ML,P
5043,SORV KIBON CREMOS 2 LT,P
5044,SORV KIBON CREMOS 2 LT,P
5083,CR PENTEAR SALON LINE 500G,P
5103,DESINFETANTE POLITRIZ 5L,P
5123,BEB LACTEA PULSI 180G,P
5124,BEB LACT PULSI 900G,P
5125,IOG TREVO BALL 130,P
5126,IOG TREVO INTEGRAL 170G,P
5127,TREVO GREGO 100,P
5143,KIBON SORVETE 80ML,P
3760,DANIO 125G,P
3840,DANONE ACTIVIA 0% LACTOSE 850G,P
3841,DANONE CAFE MANHA 170G,P
3842,AMENDOIM STA HELENA KG,P
3880,SH PANTENE 400ML,P
3900,BISCOITO 3F KG,P
3922,HILTON KS,P
3960,DESOD REAVAZON CREME 55G,P
3961,DESOD REALVAZON ROLLON 60ML,P
3980,BELVITA 90G,P
3981,CLUB SOCIAL SANDUBA 45G,P
3982,CLUB SOCIAL 144G,P
3983,HALLS MINI 15G,P
3984,CHA TANG 25G,P
3985,BISC RECH OREO 90G,P
4041,CAPELETTI MEZZANI 400G,P
4042,RAVIOLI MEZZANI 400G,P
4060,TEMP TQ CHEF KIT AMAC,P
4101,SAB PROTEX 4X1 90G,P
4102,SAB LIQ DOVE 400ML,P
4103,SAB LIQ DOVE 200ML,P
