codcfop,descricao,proc_qtde,proc_cupom,cfop_devolucao,situacao_icms_entradas_nf,situacao_icms_saidas_nf,situacao_pis_entradas_nf,situacao_pis_saidas_nf,situacao_cofins_entradas_nf,situacao_cofins_saidas_nf,nao_gera_apuracao_icms,gera_financeiro_auto
2557,TRANSF DE MAT P/ USO OU CONSUMO,S,N,,,,,,,,,
2603,RESSARCIMENTO DE ICMS RET POR SUB TRIBUT,S,N,,,,,,,,,
2901,ENTRADA P/ IND POR ENCOMENDA,S,N,,,,,,,,,
2902,RETORNO MERC REMET P/ IND POR ENCOMENDA,S,N,,,,,,,,,
2904,RETORNO DE REM P/ VENSA FORA ESTABELECIM,S,N,,,,,,,,,
2905,ENTRADA MERC RECEB P/ DEP EM DEP FECHADO,S,N,,,,,,,,,
2906,RETORNO MERC REMET P/ DEP FECHADO OU ARM,S,N,,,,,,,,,
2907,RETORNO SIMB MERC REMET P/ DEP FECHADO,S,N,,,,,,,,,
2908,ENTRADA DE BEM POR CONTA DE CONT COMODATO,S,N,,,,,,,,S,N
2909,RETORNO BEM REMET POR CONTA DE CONT COMODATO,S,N,,,,,,,,,
2911,ENTRADA DE AMOSTRA GRATIS,S,N,,,,,,,,,
2912,ENTRADA MERC RECEB P/ DEMOSTRACAO,S,N,,,,,,,,,
2913,RETORNO MERC OU BEM REMET P/ DEMONSTRACA,S,N,,,,,,,,,
2914,RETORNO MERC OU BEM REMET P/ EXP OU FEIR,S,N,,,,,,,,,
2915,ENTRADA MERC OU BEM RECEB P/ CONSETO,S,N,,,,,,,,,
2916,RETORNO MERC OU BEM REMET P/ CONSERTO,S,N,,,,,,,,,
2917,ENTRADA MERC RECEB EM CONSIG MERCANT IND,S,N,,,,,,,,,
2918,DEVOL DE MERC REMET EM CONSIG MERCANT IN,S,N,,,,,,,,,
2919,DEVOL SIMB MERC VEND OU UTIL EM PROS IND,S,N,,,,,,,,,
2920,ENTRADA VASILHAME OU SACARIA,S,N,,,,,,,,,
2921,RETORNO DE VASILHAME OU SACARIA,S,N,,,,,,,,,
2922,LANCAMENTO EFET TIT SIMPLES FATU DECOR COMPRA FUTURA,S,N,,,,,,,,,
2923,ENTRADA MERC RECEB VEND REMET EM VENDA A,S,N,,,,,,,,,
2924,DIGITE NAT_RESUM_NF,S,N,,,,,,,,,
2925,RETORNO MERC REMET P/ IND POR CONTA,S,N,,,,,,,,,
2949,OUTRA ENTRADA DE MERC NAO ESPECIFICA,N,N,,,,,,,,S,N
5103,VENDA PRODUCAO DO ESTAB EFET FORA ESTAB,S,N,,,,,,,,,
5104,VENDA MERC ADQ DE TERC EFET FORA ESTABEL,S,N,5202,,,,,,,,
5106,VENDA MERC ADQ DE TERC Q NAO DEVA TRANSI,S,N,,,,,,,,,
5109,VENDA PROD ESTAB DEST A ZONA FRANCA E OU,S,N,,,,,,,,,
1157,TRANSFERENCIA MERCADORIA,S,N,,,,,,,,,
2105,Venda prod. estab. n deva por ele transitar / Venda merc. ad,,,,,,,,,,,
2106,Venda prod. estab. n deva por ele transitar / Venda merc. ad,,,,,,,,,,,
1402,venda,,,,,,,,,,,
1662,DEVOL VENDA COMB/LUBRIF,,,,,,,,,,,
1103,VENDA DE MERCADORIA,,,,,,,,,,,
1106,COMPRA MERC ADQ DE TERC Q NAO DEVA TRANSI,S,N,,,,,,,,,
1104,VENDA,,,,,,,,,,,
6206,ANULACAO DE VALOR RELAT A SERV TRANSPORTE,S,N,,,,,,,,,
2656,VENDA DE MERCADORIA TRIBUTADA,,,,,,,,,,,
5661,"DEVOLUCAO DE COMPRA DE COMBUSTIVEL, GLP, LUBRIFICANTE",N,N,,,,,,,,,
1652,"COMPRA COMBUSTIVEL, GLP, LUBRIF PARA REVENDA",S,N,5661,,,,,,,,
1115,VENDA DE MERCADORIA RECEBIDA EM CONSIGNACAO,,,,,,,,,,,
5409,TRANSF MERC ADQ TERC C/ MERC SUJ REG TRI,S,N,,,828,,,,,,
5410,DEVOL COMPRA P/ IND,S,N,,,,,,,,,
5352,PRESTACAO SERV TRANSP A ESTAB IND,S,N,,,,,,,,,
5353,PREST SERV TRANSP ESTAB COMERCIAL,S,N,,,,,,,,,
5354,PRESTACAO SERV TRANSP ESTAB PREST SERV COMUNICACAO,S,N,,,,,,,,,
5355,PREST SERV TRANSP A ESTAB DIST DE ENER ELETRICA,S,N,,,,,,,,,
5356,PREST SERV TRANSP A ESTAB PRODUTOR RURAL,S,N,,,,,,,,,
5357,PREST SERV TRANSP NAO CONTRIBUINTE,S,N,,,,,,,,,
5401,VENDA PROD ESTAB  SUJ  AO REG SUB TRIBUT,S,N,5411,,,,,,,,
5402,VENDA PROD ESTAB SUJ REG SUB TRI CONTRI,S,N,,,,,,,,,
5403,VENDA MERC ADQ TERC OPERC MERC SUJ SUB T,S,N,5411,,791,,792,,793,,
5412,DEVOL MERC DEST USO MERC SUJ REG SUB TRI,S,N,,,,,,,,,
5413,DEVOL MERC DEST USO MERC SUJ SUB TRIBUTA,S,N,,,,,,,,,
